facility_id,location,facility_type,cleanliness_score,odor_score,waste_level,water_availability,footfall,complaints,inspection_date,hours_since_cleaning,hygiene_risk
F0031,Sitabuldi,Mall Washroom,6.4,7.4,63.3,Yes,527.0,5,2026-05-15,0.5,Medium
F0032,Kamptee Road,Public Washroom,7.3,1.8,44.1,Yes,834.0,6,2026-03-18,8.8,Medium
F0033,Sadar,Mall Washroom,7.7,1.8,37.1,Yes,522.0,4,2026-07-03,17.2,Medium
F0034,Sadar,Office Washroom,2.8,8.2,83.3,Yes,597.0,7,2026-03-21,7.3,High
F0035,Manish Nagar,Office Washroom,9.8,1.0,16.1,Yes,396.0,3,2026-05-08,3.0,Low
F0036,Wardha Road,Hospital Washroom,5.0,6.1,50.5,Yes,528.0,5,2026-08-24,12.7,High
F0037,Kamptee Road,School Washroom,8.0,1.0,33.5,Yes,748.0,5,2026-06-29,2.4,Low
F0038,Nagpur Central,Public Washroom,6.4,2.1,7.4,Yes,873.0,3,2026-05-16,2.3,Low
F0039,Hingna,Public Washroom,5.0,5.3,60.4,No,200.0,9,2026-01-23,0.9,High
F0040,Dharampeth,Mall Washroom,5.7,3.0,47.5,Yes,764.0,4,2026-08-09,1.6,Medium
F0041,Kamptee Road,Office Washroom,8.7,1.4,20.0,No,332.0,4,2026-06-01,5.3,Low
F0042,Kamptee Road,Public Washroom,4.9,6.8,77.2,Yes,428.0,5,2026-07-27,6.3,High
F0043,Dharampeth,Hospital Washroom,6.0,5.8,52.3,Yes,137.0,4,2026-03-28,4.4,Medium
F0044,Sadar,Office Washroom,4.4,4.8,60.5,Yes,582.0,4,2026-04-26,8.4,Medium
F0045,Mihan,School Washroom,7.8,3.3,4.9,Yes,496.0,2,2026-07-16,4.0,Low
F0046,Sadar,Office Washroom,5.5,5.6,72.9,Yes,432.0,3,2026-08-06,0.8,Medium
F0047,Mihan,Transit Washroom,7.4,1.7,18.0,No,492.0,7,2026-06-12,1.0,Medium
F0048,Mihan,Hospital Washroom,8.0,4.1,2.9,Yes,629.0,2,2026-09-01,1.3,Low
F0049,Manish Nagar,Hospital Washroom,6.4,2.1,40.3,Yes,805.0,2,2026-05-01,2.1,Low
F0050,Hingna,School Washroom,7.5,2.8,50.3,Yes,469.0,6,2026-02-02,9.2,Medium
F0051,Mihan,Public Washroom,5.4,6.9,77.9,Yes,588.0,6,2026-07-14,11.0,High
F0052,Mihan,Office Washroom,6.3,5.7,41.1,Yes,754.0,3,2026-04-23,5.8,Medium
F0053,Hingna,Transit Washroom,6.1,6.4,31.2,Yes,640.0,7,2026-01-14,9.7,Medium
F0054,Wardha Road,Office Washroom,2.8,7.9,75.5,Yes,591.0,9,2026-07-14,0.5,High
F0055,Wardha Road,Office Washroom,4.7,6.6,67.9,No,308.0,10,2026-01-27,4.1,High
F0056,Civil Lines,Office Washroom,4.6,5.1,40.8,Yes,444.0,2,2026-01-11,1.7,Medium
F0057,Sitabuldi,Hospital Washroom,6.6,5.9,68.2,Yes,781.0,4,2026-02-28,2.2,Medium
F0058,Dharampeth,Transit Washroom,8.3,2.9,29.3,Yes,185.0,0,2026-04-12,3.8,Low
F0059,Wardha Road,Transit Washroom,5.4,3.9,72.7,Yes,656.0,9,2026-01-22,6.9,High
F0060,Hingna,Hospital Washroom,10.0,1.0,17.9,Yes,197.0,3,2026-02-24,13.0,Low
F0061,Mihan,School Washroom,4.0,5.2,62.0,Yes,203.0,5,2026-09-05,25.2,High
F0062,Sadar,School Washroom,9.8,2.0,0.0,Yes,444.0,4,2026-08-19,2.5,Low
F0063,Civil Lines,Mall Washroom,3.8,6.4,59.4,Yes,649.0,6,2026-05-24,5.0,High
F0064,Mihan,Mall Washroom,7.6,4.6,21.4,Yes,489.0,4,2026-05-04,3.9,Low
F0065,Hingna,Mall Washroom,5.9,3.7,60.5,Yes,449.0,4,2026-06-26,2.1,Medium
F0066,Dharampeth,Mall Washroom,4.8,5.0,54.7,Yes,374.0,6,2026-06-11,9.6,Medium
F0067,Dharampeth,Office Washroom,3.3,7.2,76.2,Yes,571.0,9,2026-05-25,9.7,High
F0068,Kamptee Road,Hospital Washroom,6.1,4.5,59.8,Yes,400.0,4,2026-01-28,0.5,Medium
F0069,Nagpur Central,Hospital Washroom,6.1,4.3,58.1,Yes,241.0,3,2026-04-05,6.4,Medium
F0070,Sitabuldi,Office Washroom,6.8,5.6,35.0,Yes,359.0,4,2026-01-28,7.4,Medium
F0071,Mihan,School Washroom,8.1,1.0,38.2,Yes,514.0,1,2026-07-14,4.0,Low
F0072,Sadar,Mall Washroom,4.9,5.6,75.7,Yes,359.0,6,2026-02-20,24.2,High
F0073,Nagpur Central,Office Washroom,7.1,5.8,42.9,Yes,543.0,2,2026-05-30,0.5,Medium
F0074,Hingna,Public Washroom,7.2,3.5,48.3,Yes,574.0,4,2026-04-12,2.3,Medium
F0075,Mihan,Public Washroom,3.8,6.7,89.8,Yes,205.0,6,2026-05-28,1.4,High
F0076,Hingna,Mall Washroom,9.4,1.0,19.7,Yes,391.0,3,2026-01-21,4.3,Low
F0077,Civil Lines,Public Washroom,5.8,6.1,79.9,Yes,735.0,12,2026-05-18,6.4,High
F0078,Mihan,Public Washroom,4.1,7.0,56.4,Yes,263.0,6,2026-08-12,36.0,High
F0079,Kamptee Road,Public Washroom,4.5,6.7,58.7,Yes,523.0,4,2026-07-25,4.0,High
F0080,Kamptee Road,School Washroom,6.5,3.4,46.9,Yes,649.0,4,2026-01-01,5.4,Medium
F0081,Mihan,Mall Washroom,5.4,6.0,38.2,Yes,712.0,6,2026-05-28,10.7,High
F0082,Kamptee Road,School Washroom,8.7,2.0,24.0,Yes,535.0,0,2026-01-08,2.8,Low
F0083,Hingna,School Washroom,10.0,3.2,25.3,Yes,302.0,0,2026-05-20,13.4,Low
F0084,Dharampeth,Hospital Washroom,6.4,5.6,43.1,Yes,60.0,6,2026-03-11,5.3,Medium
F0085,Sitabuldi,School Washroom,6.9,1.6,26.7,Yes,757.0,3,2026-09-08,0.5,Low
F0086,Sadar,Transit Washroom,2.8,7.0,73.7,Yes,196.0,6,2026-04-07,2.9,High
F0087,Mihan,Public Washroom,3.6,9.1,59.2,Yes,532.0,4,2026-03-19,18.4,High
F0088,Nagpur Central,Mall Washroom,10.0,3.4,37.9,Yes,773.0,4,2026-08-22,0.8,Low
F0089,Wardha Road,Mall Washroom,8.8,4.3,28.2,Yes,413.0,1,2026-02-11,2.3,Low
F0090,Civil Lines,Public Washroom,5.1,6.7,45.5,Yes,357.0,3,2026-01-19,15.4,Medium
F0091,Mihan,Office Washroom,6.7,6.3,39.4,Yes,583.0,5,2026-02-21,28.7,High
F0092,Sadar,Transit Washroom,3.4,6.6,44.0,Yes,482.0,5,2026-03-16,3.5,High
F0093,Sadar,School Washroom,4.0,8.0,69.7,Yes,553.0,6,2026-03-15,3.6,High
F0094,Dharampeth,School Washroom,4.4,5.7,50.6,Yes,628.0,5,2026-03-22,2.5,Medium
F0095,Dharampeth,Office Washroom,10.0,1.0,1.1,Yes,890.3199999999988,0,2026-09-05,4.6,Low
F0096,Manish Nagar,Public Washroom,10.0,1.0,21.0,Yes,415.0,1,2026-07-22,13.3,Low
F0097,Civil Lines,Hospital Washroom,3.8,6.4,67.7,Yes,360.0,7,2026-04-28,5.1,High
F0098,Dharampeth,Mall Washroom,5.5,5.7,61.4,Yes,443.0,3,2026-03-12,8.6,Medium
F0099,Sadar,Office Washroom,5.4,4.7,36.2,Yes,535.0,4,2026-03-31,0.7,Medium
F0100,Manish Nagar,Mall Washroom,9.4,2.2,0.0,Yes,254.0,1,2026-09-04,1.3,Low
F0101,Kamptee Road,Hospital Washroom,8.8,1.0,17.4,Yes,447.0,0,2026-07-23,1.9,Low
F0102,Civil Lines,School Washroom,3.9,8.2,74.4,Yes,580.0,8,2026-05-15,10.4,High
F0103,Dharampeth,Mall Washroom,8.4,1.0,34.3,Yes,531.0,0,2026-04-24,16.2,Low
F0104,Mihan,Public Washroom,4.8,7.5,31.4,Yes,328.0,6,2026-06-05,21.9,High
F0105,Hingna,Mall Washroom,9.7,2.9,24.8,Yes,612.0,3,2026-03-21,10.2,Low
F0106,Mihan,Office Washroom,5.7,6.5,60.2,Yes,484.0,5,2026-08-16,3.5,Medium
F0107,Mihan,Public Washroom,6.9,3.6,33.0,No,176.0,5,2026-03-04,3.3,Medium
F0108,Civil Lines,Office Washroom,7.1,2.9,21.0,Yes,813.0,4,2026-03-06,2.1,Low
F0109,Manish Nagar,Office Washroom,9.3,2.6,20.9,Yes,577.0,4,2026-01-02,3.0,Low
F0110,Sadar,Transit Washroom,9.7,2.9,13.3,Yes,770.0,4,2026-07-03,1.1,Low
F0111,Mihan,Transit Washroom,5.9,5.8,70.7,Yes,547.0,3,2026-02-25,10.3,Medium
F0112,Nagpur Central,School Washroom,6.9,4.4,58.9,Yes,701.0,3,2026-01-16,2.7,Medium
F0113,Manish Nagar,Transit Washroom,7.5,2.4,51.7,Yes,647.0,3,2026-03-06,17.2,Medium
F0114,Dharampeth,Mall Washroom,7.4,2.5,22.3,Yes,700.0,3,2026-08-09,4.5,Low
F0115,Hingna,School Washroom,8.5,3.7,38.2,Yes,236.0,4,2026-08-21,4.2,Low
F0116,Dharampeth,Public Washroom,5.1,5.8,44.1,Yes,413.0,9,2026-08-31,8.7,High
F0117,Dharampeth,School Washroom,6.8,3.7,59.6,Yes,635.0,3,2026-06-18,6.1,Medium
F0118,Wardha Road,Public Washroom,5.1,4.7,72.6,Yes,667.0,4,2026-06-09,25.9,High
F0119,Hingna,Transit Washroom,5.2,5.4,49.7,Yes,299.0,3,2026-04-26,14.0,Medium
F0120,Nagpur Central,Office Washroom,8.8,4.6,18.7,Yes,398.0,2,2026-05-17,19.8,Low
F0121,Dharampeth,Mall Washroom,5.9,7.3,60.4,Yes,333.0,5,2026-01-16,1.2,Medium
F0122,Nagpur Central,Office Washroom,5.8,4.0,47.2,Yes,534.0,6,2026-02-13,2.9,Medium
F0123,Wardha Road,School Washroom,7.8,4.7,26.7,Yes,274.0,2,2026-02-28,5.0,Low
F0124,Nagpur Central,Office Washroom,6.9,5.6,53.4,Yes,243.0,4,2026-01-29,1.9,Medium
F0125,Kamptee Road,Mall Washroom,6.0,5.8,55.0,Yes,558.0,5,2026-07-14,0.5,Medium
F0126,Nagpur Central,School Washroom,5.2,6.0,73.0,Yes,295.0,7,2026-08-12,10.2,High
F0127,Sitabuldi,Transit Washroom,9.7,1.0,0.0,Yes,298.0,1,2026-06-16,4.1,Low
F0128,Kamptee Road,Public Washroom,6.7,2.4,47.0,Yes,334.0,4,2026-07-25,4.3,Low
F0129,Wardha Road,Mall Washroom,5.1,6.6,49.4,Yes,597.0,7,2026-06-28,5.4,High
F0130,Dharampeth,Office Washroom,7.9,4.9,25.7,Yes,565.0,4,2026-03-20,1.4,Low
F0131,Wardha Road,Office Washroom,8.9,1.5,4.3,Yes,493.0,3,2026-06-15,8.6,Low
F0132,Manish Nagar,School Washroom,4.6,5.0,66.4,Yes,514.0,4,2026-02-07,3.3,Medium
F0133,Civil Lines,Transit Washroom,5.8,5.3,52.5,Yes,353.0,3,2026-08-25,14.5,Medium
F0134,Kamptee Road,Office Washroom,4.9,8.1,51.4,Yes,670.0,5,2026-09-01,1.6,High
F0135,Mihan,Transit Washroom,8.4,2.2,36.4,No,41.0,4,2026-08-13,0.7,Low
F0136,Wardha Road,Public Washroom,6.0,4.2,46.8,Yes,383.0,6,2026-01-27,3.1,Medium
F0137,Civil Lines,Mall Washroom,5.2,7.3,47.1,Yes,539.0,5,2026-02-11,25.0,High
F0138,Manish Nagar,Transit Washroom,5.7,6.1,60.8,No,360.0,7,2026-02-13,6.8,High
F0139,Kamptee Road,Hospital Washroom,4.0,8.6,74.1,Yes,127.0,6,2026-08-05,10.1,High
F0140,Sitabuldi,Public Washroom,4.3,7.8,64.7,No,225.0,11,2026-03-12,1.6,High
F0141,Civil Lines,School Washroom,5.5,7.7,35.1,Yes,416.0,3,2026-03-09,5.6,Medium
F0142,Hingna,Hospital Washroom,3.1,8.4,81.4,Yes,93.0,5,2026-01-23,9.6,High
F0143,Sadar,Hospital Washroom,5.8,4.3,39.0,Yes,491.0,3,2026-08-29,4.5,Medium
F0144,Sitabuldi,Office Washroom,6.1,4.2,30.7,Yes,476.0,1,2026-08-03,5.2,Low
F0145,Manish Nagar,Public Washroom,6.7,3.6,41.7,Yes,744.0,6,2026-03-05,6.1,Medium
F0146,Mihan,Hospital Washroom,8.6,2.5,13.5,No,571.0,6,2026-04-24,21.9,Medium
F0147,Wardha Road,Office Washroom,8.2,2.2,17.4,Yes,558.0,2,2026-02-20,0.6,Low
F0148,Civil Lines,Public Washroom,8.0,3.7,38.8,Yes,390.0,2,2026-08-18,9.2,Low
F0149,Manish Nagar,Public Washroom,6.7,4.2,43.4,No,552.0,5,2026-05-02,7.0,Medium
F0150,Kamptee Road,Transit Washroom,7.9,4.4,35.2,Yes,327.0,3,2026-01-09,17.7,Medium
F0151,Dharampeth,Transit Washroom,6.5,5.2,26.0,Yes,560.0,4,2026-07-04,4.0,Medium
F0152,Wardha Road,Hospital Washroom,5.7,3.1,44.0,Yes,873.0,5,2026-07-18,0.5,Medium
F0153,Nagpur Central,Hospital Washroom,6.4,3.4,53.9,Yes,497.0,2,2026-03-10,0.8,Low
F0154,Sitabuldi,Public Washroom,4.8,3.9,51.5,Yes,474.0,3,2026-04-04,8.9,Medium
F0155,Kamptee Road,School Washroom,5.4,2.6,62.5,Yes,463.0,4,2026-07-23,16.3,Medium
F0156,Manish Nagar,Public Washroom,7.9,3.1,54.3,Yes,191.0,5,2026-06-19,15.1,Medium
F0157,Kamptee Road,Hospital Washroom,7.0,2.7,26.8,No,569.0,7,2026-07-08,3.1,Medium
F0158,Dharampeth,Public Washroom,9.1,2.6,0.0,Yes,102.0,0,2026-06-14,5.9,Low
F0159,Civil Lines,School Washroom,5.7,6.3,29.7,Yes,546.0,2,2026-06-30,4.4,Medium
F0160,Nagpur Central,Office Washroom,7.4,3.0,74.1,No,709.0,8,2026-03-23,3.4,High
F0161,Civil Lines,Office Washroom,8.1,1.3,22.4,Yes,473.0,0,2026-01-17,7.8,Low
F0162,Wardha Road,Mall Washroom,9.9,1.0,0.0,Yes,453.0,0,2026-07-23,5.7,Low
F0163,Sadar,Transit Washroom,5.5,8.8,61.4,Yes,452.0,8,2026-08-17,18.4,High
F0164,Dharampeth,Mall Washroom,8.6,1.8,55.0,Yes,739.0,5,2026-08-16,4.5,Low
F0165,Wardha Road,Transit Washroom,10.0,1.0,1.1,Yes,129.0,0,2026-03-31,2.6,Low
F0166,Mihan,Transit Washroom,7.5,4.1,74.6,Yes,451.0,6,2026-07-08,3.4,Medium
F0167,Sitabuldi,Hospital Washroom,9.1,3.9,33.0,Yes,519.0,1,2026-02-07,4.9,Low
F0168,Sitabuldi,School Washroom,7.4,2.7,23.5,Yes,177.0,5,2026-04-04,11.4,Low
F0169,Dharampeth,Hospital Washroom,2.6,8.4,86.9,Yes,198.0,9,2026-05-26,1.3,High
F0170,Civil Lines,Transit Washroom,5.9,6.2,82.0,Yes,215.0,4,2026-03-28,0.7,Medium
F0171,Civil Lines,Hospital Washroom,8.0,4.6,26.5,Yes,135.0,3,2026-01-24,6.2,Low
F0172,Manish Nagar,School Washroom,6.0,3.7,28.6,Yes,264.0,2,2026-05-29,7.4,Low
F0173,Civil Lines,Office Washroom,6.5,6.9,30.7,Yes,564.0,3,2026-06-24,1.3,Medium
F0174,Kamptee Road,Transit Washroom,7.5,2.7,55.1,Yes,813.0,1,2026-07-09,1.1,Low
F0175,Sadar,Office Washroom,7.5,4.1,45.5,Yes,597.0,7,2026-08-03,0.5,Medium
F0176,Mihan,Hospital Washroom,5.1,7.1,26.0,Yes,477.0,6,2026-08-28,36.0,High
F0177,Manish Nagar,Transit Washroom,5.6,5.4,39.5,Yes,581.0,6,2026-08-29,6.6,Medium
F0178,Hingna,Public Washroom,6.9,4.7,40.2,Yes,410.0,5,2026-01-24,3.9,Medium
F0179,Sitabuldi,Public Washroom,5.3,5.3,49.1,Yes,401.0,4,2026-03-02,10.8,Medium
F0180,Kamptee Road,Public Washroom,10.0,1.0,27.4,Yes,772.0,1,2026-07-25,1.7,Low
F0181,Sitabuldi,School Washroom,7.4,3.8,27.5,Yes,646.0,2,2026-06-13,7.0,Low
F0182,Mihan,Public Washroom,6.2,6.9,44.8,Yes,216.0,7,2026-06-03,5.7,Medium
F0183,Manish Nagar,Mall Washroom,4.5,7.9,79.9,Yes,393.0,7,2026-08-31,9.7,High
F0184,Sitabuldi,Mall Washroom,6.0,5.5,24.3,Yes,377.0,2,2026-07-14,1.4,Low
F0185,Civil Lines,School Washroom,6.4,6.2,40.7,Yes,293.0,3,2026-09-14,4.1,Medium
F0186,Kamptee Road,School Washroom,7.1,5.4,21.7,Yes,526.0,4,2026-09-02,2.9,Medium
F0187,Civil Lines,School Washroom,5.9,5.8,59.8,Yes,324.0,4,2026-05-16,11.1,Medium
F0188,Sadar,Mall Washroom,3.7,7.6,78.5,Yes,522.0,11,2026-05-28,2.6,High
F0189,Hingna,Hospital Washroom,5.9,4.0,29.9,Yes,846.0,6,2026-07-14,2.4,Medium
F0190,Manish Nagar,Mall Washroom,8.4,4.9,19.3,Yes,348.0,5,2026-08-15,3.2,Low
F0191,Nagpur Central,Mall Washroom,5.1,6.0,24.5,Yes,307.0,3,2026-05-05,1.1,Medium
F0192,Nagpur Central,Transit Washroom,4.7,7.1,54.1,Yes,589.0,7,2026-03-12,4.8,High
F0193,Nagpur Central,Public Washroom,7.5,3.4,18.0,Yes,58.0,2,2026-05-27,7.9,Low
F0194,Sitabuldi,Public Washroom,4.8,5.7,50.5,Yes,465.0,5,2026-08-02,19.1,High
F0195,Wardha Road,Hospital Washroom,8.3,2.7,0.0,No,444.0,5,2026-02-24,19.5,Medium
F0196,Sadar,Public Washroom,6.2,3.0,51.9,Yes,520.0,4,2026-05-20,5.3,Medium
F0197,Sitabuldi,Transit Washroom,4.9,7.9,44.6,Yes,148.0,5,2026-04-09,3.1,Medium
F0198,Sitabuldi,School Washroom,9.1,3.6,0.0,Yes,336.0,1,2026-04-05,8.3,Low
F0199,Manish Nagar,Mall Washroom,5.8,6.1,49.1,Yes,590.0,4,2026-01-06,23.1,High
F0200,Dharampeth,Mall Washroom,9.3,1.1,26.2,Yes,303.0,1,2026-06-09,8.7,Low
F0201,Kamptee Road,School Washroom,7.8,2.7,24.4,Yes,327.0,2,2026-08-01,1.2,Low
F0202,Kamptee Road,School Washroom,3.8,7.3,42.6,Yes,454.0,4,2026-02-11,6.8,High
F0203,Wardha Road,Transit Washroom,4.6,6.2,66.5,Yes,376.0,6,2026-03-26,17.5,High
F0204,Mihan,Office Washroom,8.7,1.0,31.3,Yes,20.0,1,2026-01-29,4.4,Low
F0205,Civil Lines,Public Washroom,4.3,6.6,77.9,Yes,516.0,4,2026-04-22,9.6,High
F0206,Nagpur Central,Hospital Washroom,8.5,3.6,29.1,Yes,890.3199999999988,3,2026-08-30,0.5,Low
F0207,Hingna,Public Washroom,3.7,8.5,72.5,Yes,20.0,8,2026-07-13,4.1,High
F0208,Kamptee Road,Office Washroom,6.3,3.9,26.5,Yes,314.0,2,2026-07-21,1.5,Low
F0209,Sadar,School Washroom,6.2,3.9,49.2,Yes,431.0,2,2026-04-28,8.4,Medium
F0210,Civil Lines,Public Washroom,5.8,4.6,59.1,No,413.0,7,2026-08-03,12.4,High
F0211,Sadar,Transit Washroom,6.4,5.1,31.8,Yes,296.0,4,2026-08-13,15.4,Medium
F0212,Civil Lines,Transit Washroom,7.0,4.5,66.4,Yes,248.0,4,2026-06-13,12.7,Medium
F0213,Hingna,Transit Washroom,6.9,1.7,42.3,No,878.0,6,2026-03-31,5.5,Medium
F0214,Hingna,Office Washroom,7.2,1.0,38.2,No,246.0,3,2026-08-02,2.9,Medium
F0215,Kamptee Road,School Washroom,6.0,5.8,37.9,Yes,391.0,5,2026-01-30,14.6,Medium
F0216,Wardha Road,Public Washroom,8.1,4.5,25.5,Yes,436.0,4,2026-08-19,7.8,Low
F0217,Mihan,Office Washroom,2.9,7.6,88.8,Yes,498.0,10,2026-04-22,0.5,High
F0218,Mihan,Office Washroom,7.9,3.9,21.7,No,890.3199999999988,7,2026-03-02,24.5,High
F0219,Manish Nagar,Hospital Washroom,5.4,3.7,45.2,Yes,528.0,3,2026-06-07,2.5,Medium
F0220,Wardha Road,Hospital Washroom,7.0,2.5,37.7,Yes,676.0,3,2026-04-15,13.7,Medium
F0221,Sadar,Hospital Washroom,4.3,7.6,64.7,Yes,551.0,5,2026-03-20,20.5,High
F0222,Mihan,School Washroom,5.5,5.7,70.5,Yes,20.0,4,2026-09-08,3.1,Medium
F0223,Kamptee Road,Public Washroom,8.1,4.9,40.0,Yes,736.0,2,2026-01-31,18.7,Medium
F0224,Dharampeth,Mall Washroom,5.7,5.6,46.0,Yes,453.0,5,2026-04-29,1.1,Medium
F0225,Nagpur Central,Transit Washroom,7.2,4.5,32.4,Yes,451.0,5,2026-01-09,20.4,Medium
F0226,Sitabuldi,Public Washroom,4.9,5.9,57.2,Yes,336.0,9,2026-08-09,0.5,High
F0227,Mihan,Transit Washroom,8.4,1.8,27.5,Yes,735.0,3,2026-07-27,3.3,Low
F0228,Dharampeth,School Washroom,5.7,5.4,72.3,Yes,472.0,5,2026-01-17,35.9,High
F0229,Kamptee Road,Public Washroom,4.7,7.4,61.5,Yes,440.0,4,2026-02-18,5.2,High
F0230,Kamptee Road,Transit Washroom,7.7,3.7,62.6,Yes,270.0,3,2026-05-24,19.3,Medium
F0231,Manish Nagar,Office Washroom,5.7,4.6,52.2,Yes,398.0,6,2026-02-09,1.2,Medium
F0232,Dharampeth,Transit Washroom,3.2,6.3,66.1,Yes,308.0,5,2026-03-13,3.6,High
F0233,Nagpur Central,Mall Washroom,6.4,3.4,52.7,Yes,522.0,3,2026-06-17,7.0,Medium
F0234,Dharampeth,Transit Washroom,4.7,5.7,100.0,Yes,106.0,9,2026-07-14,4.2,High
F0235,Dharampeth,Public Washroom,6.0,5.9,57.9,Yes,507.0,6,2026-07-04,11.5,High
F0236,Kamptee Road,Transit Washroom,8.0,4.1,30.4,Yes,415.0,4,2026-08-18,1.6,Low
F0237,Hingna,Public Washroom,5.5,5.5,67.5,Yes,579.0,6,2026-07-31,11.5,High
F0238,Sitabuldi,Hospital Washroom,6.2,4.5,28.5,No,442.0,9,2026-03-28,8.7,High
F0239,Mihan,Transit Washroom,5.7,6.7,64.5,Yes,520.0,7,2026-05-07,5.0,High
F0240,Wardha Road,School Washroom,7.1,2.8,27.7,Yes,650.0,3,2026-07-14,13.8,Medium
F0241,Sitabuldi,School Washroom,4.6,8.5,84.6,Yes,20.0,7,2026-06-10,2.9,High
F0242,Manish Nagar,School Washroom,6.0,6.1,45.7,Yes,142.0,4,2026-07-12,2.1,Medium
F0243,Mihan,Hospital Washroom,3.5,9.8,85.4,Yes,890.3199999999988,11,2026-04-18,10.9,High
F0244,Sadar,Hospital Washroom,6.9,4.3,35.3,Yes,521.0,2,2026-06-05,1.1,Low
F0245,Kamptee Road,Public Washroom,4.8,4.5,60.1,No,346.0,7,2026-08-03,4.9,High
F0246,Wardha Road,Office Washroom,7.7,3.6,19.9,No,124.0,5,2026-05-08,0.7,Medium
F0247,Dharampeth,Hospital Washroom,6.1,4.6,68.0,Yes,395.0,6,2026-01-06,10.5,Medium
F0248,Civil Lines,Mall Washroom,6.0,5.4,70.8,Yes,370.0,4,2026-08-26,3.5,Medium
F0249,Wardha Road,Hospital Washroom,4.7,6.3,66.2,Yes,445.0,9,2026-03-14,24.5,High
F0250,Wardha Road,Public Washroom,9.4,1.0,37.8,Yes,372.0,2,2026-08-20,9.6,Low
F0251,Kamptee Road,Office Washroom,5.3,8.0,74.7,Yes,713.0,9,2026-05-05,8.5,High
F0252,Hingna,School Washroom,10.0,1.0,8.0,Yes,47.0,1,2026-04-06,7.5,Low
F0253,Civil Lines,Public Washroom,9.0,2.3,27.1,Yes,708.0,3,2026-02-02,9.1,Low
F0254,Kamptee Road,Mall Washroom,9.5,2.0,0.0,Yes,465.0,2,2026-09-08,8.3,Low
F0255,Civil Lines,Transit Washroom,5.7,6.5,45.3,Yes,497.0,6,2026-06-02,4.6,Medium
